transaction_id,sender_account,receiver_account,amount,timestamp
T171,A1413,A1208,6791.11,2024-01-01 02:50:00
T172,A1097,A1048,100.36,2024-01-01 02:51:00
T173,A1049,A1337,4305.78,2024-01-01 02:52:00
T174,A1220,A1181,1540.94,2024-01-01 02:53:00
T175,A1216,A1210,6216.75,2024-01-01 02:54:00
T176,A1239,A1442,1149.63,2024-01-01 02:55:00
T177,A1373,A1027,7045.28,2024-01-01 02:56:00
T178,A1344,A1334,2933.75,2024-01-01 02:57:00
T179,A1330,A1050,16562.06,2024-01-01 02:58:00
T180,A1031,A1206,887.67,2024-01-01 02:59:00
T181,A1372,A1173,2502.79,2024-01-01 03:00:00
T182,A1409,A1441,722.67,2024-01-01 03:01:00
T183,A1055,A1127,15517.14,2024-01-01 03:02:00
T184,A1098,A1097,12590.0,2024-01-01 03:03:00
T185,A1274,A1229,1789.96,2024-01-01 03:04:00
T186,A1071,A1216,6472.58,2024-01-01 03:05:00
T187,A1093,A1142,10196.9,2024-01-01 03:06:00
T188,A1236,A1127,4860.79,2024-01-01 03:07:00
T189,A1447,A1472,4525.68,2024-01-01 03:08:00
T190,A1038,A1226,1661.26,2024-01-01 03:09:00
T191,A1413,A1441,586.36,2024-01-01 03:10:00
T192,A1438,A1281,13650.74,2024-01-01 03:11:00
T193,A1050,A1025,13840.65,2024-01-01 03:12:00
T194,A1333,A1276,6016.02,2024-01-01 03:13:00
T195,A1428,A1007,2484.28,2024-01-01 03:14:00
T196,A1496,A1047,2577.41,2024-01-01 03:15:00
T197,A1474,A1385,7766.79,2024-01-01 03:16:00
T198,A1434,A1121,13644.58,2024-01-01 03:17:00
T199,A1085,A1208,13086.8,2024-01-01 03:18:00
T200,A1248,A1246,9081.37,2024-01-01 03:19:00
T201,A1109,A1442,6163.86,2024-01-01 03:20:00
T202,A1205,A1462,527.35,2024-01-01 03:21:00
T203,A1030,A1084,1057.77,2024-01-01 03:22:00
T204,A1194,A1001,13729.38,2024-01-01 03:23:00
T205,A1199,A1135,5594.96,2024-01-01 03:24:00
T206,A1474,A1401,55.44,2024-01-01 03:25:00
T207,A1401,A1232,641.98,2024-01-01 03:26:00
T208,A1146,A1216,6534.97,2024-01-01 03:27:00
T209,A1356,A1490,30.45,2024-01-01 03:28:00
T210,A1374,A1401,1051.89,2024-01-01 03:29:00
T211,A1284,A1338,4774.19,2024-01-01 03:30:00
T212,A1367,A1249,7063.89,2024-01-01 03:31:00
T213,A1079,A1097,6332.65,2024-01-01 03:32:00
T214,A1151,A1111,1523.7,2024-01-01 03:33:00
T215,A1495,A1029,7472.5,2024-01-01 03:34:00
T216,A1296,A1376,1624.94,2024-01-01 03:35:00
T217,A1277,A1031,2361.81,2024-01-01 03:36:00
T218,A1382,A1160,8234.15,2024-01-01 03:37:00
T219,A1029,A1025,6292.64,2024-01-01 03:38:00
T220,A1299,A1244,11351.74,2024-01-01 03:39:00
T221,A1257,A1470,6430.88,2024-01-01 03:40:00
T222,A1436,A1271,5040.27,2024-01-01 03:41:00
T223,A1080,A1029,590.14,2024-01-01 03:42:00
T224,A1491,A1260,2750.5,2024-01-01 03:43:00
T225,A1041,A1435,1848.96,2024-01-01 03:44:00
T226,A1095,A1035,1678.2,2024-01-01 03:45:00
T227,A1304,A1034,21673.86,2024-01-01 03:46:00
T228,A1345,A1441,2996.32,2024-01-01 03:47:00
T229,A1120,A1206,13356.33,2024-01-01 03:48:00
T230,A1061,A1482,5984.01,2024-01-01 03:49:00
T231,A1455,A1291,9502.95,2024-01-01 03:50:00
T232,A1126,A1296,4190.61,2024-01-01 03:51:00
T233,A1304,A1020,5160.94,2024-01-01 03:52:00
T234,A1317,A1041,4069.76,2024-01-01 03:53:00
T235,A1214,A1336,1303.29,2024-01-01 03:54:00
T236,A1298,A1289,7690.57,2024-01-01 03:55:00
T237,A1267,A1161,1977.46,2024-01-01 03:56:00
T238,A1478,A1133,147.7,2024-01-01 03:57:00
T239,A1104,A1342,6221.81,2024-01-01 03:58:00
T240,A1366,A1160,1169.6,2024-01-01 03:59:00
T241,A1122,A1135,16926.5,2024-01-01 04:00:00
T242,A1202,A1067,18465.37,2024-01-01 04:01:00
T243,A1343,A1330,14781.06,2024-01-01 04:02:00
T244,A1153,A1234,2773.72,2024-01-01 04:03:00
T245,A1161,A1475,93.46,2024-01-01 04:04:00
T246,A1384,A1479,15813.14,2024-01-01 04:05:00
T247,A1037,A1004,3353.63,2024-01-01 04:06:00
T248,A1234,A1318,20405.05,2024-01-01 04:07:00
T249,A1288,A1051,19882.41,2024-01-01 04:08:00
T250,A1037,A1275,11504.32,2024-01-01 04:09:00
T251,A1109,A1259,2092.66,2024-01-01 04:10:00
T252,A1135,A1067,2917.75,2024-01-01 04:11:00
T253,A1477,A1178,11428.36,2024-01-01 04:12:00
T254,A1451,A1035,2286.88,2024-01-01 04:13:00
T255,A1450,A1125,1114.31,2024-01-01 04:14:00
T256,A1189,A1145,4882.42,2024-01-01 04:15:00
T257,A1080,A1224,16507.76,2024-01-01 04:16:00
T258,A1426,A1278,7144.95,2024-01-01 04:17:00
T259,A1360,A1154,5064.67,2024-01-01 04:18:00
T260,A1313,A1413,613.37,2024-01-01 04:19:00
T261,A1334,A1270,5727.18,2024-01-01 04:20:00
T262,A1004,A1341,27663.42,2024-01-01 04:21:00
T263,A1418,A1283,905.52,2024-01-01 04:22:00
T264,A1153,A1477,4382.97,2024-01-01 04:23:00
T265,A1339,A1053,12591.65,2024-01-01 04:24:00
T266,A1480,A1449,8100.21,2024-01-01 04:25:00
T267,A1068,A1135,7164.45,2024-01-01 04:26:00
T268,A1059,A1455,7273.73,2024-01-01 04:27:00
T269,A1054,A1380,2672.95,2024-01-01 04:28:00
T270,A1283,A1079,2085.37,2024-01-01 04:29:00
T271,A1139,A1144,9944.25,2024-01-01 04:30:00
T272,A1309,A1107,9967.97,2024-01-01 04:31:00
T273,A1367,A1175,12107.7,2024-01-01 04:32:00
T274,A1104,A1351,14667.7,2024-01-01 04:33:00
T275,A1324,A1436,4296.56,2024-01-01 04:34:00
T276,A1135,A1258,4177.11,2024-01-01 04:35:00
T277,A1250,A1128,9605.7,2024-01-01 04:36:00
T278,A1463,A1464,6298.31,2024-01-01 04:37:00
T279,A1433,A1026,7263.3,2024-01-01 04:38:00
T280,A1047,A1324,9531.72,2024-01-01 04:39:00
T281,A1216,A1424,13243.94,2024-01-01 04:40:00
T282,A1141,A1022,2474.89,2024-01-01 04:41:00
T283,A1001,A1170,2825.62,2024-01-01 04:42:00
T284,A1394,A1066,592.18,2024-01-01 04:43:00
T285,A1326,A1134,5180.48,2024-01-01 04:44:00
T286,A1082,A1379,219.62,2024-01-01 04:45:00
T287,A1226,A1282,3759.64,2024-01-01 04:46:00
T288,A1361,A1218,4693.77,2024-01-01 04:47:00
T289,A1287,A1004,2025.78,2024-01-01 04:48:00
T290,A1057,A1038,5361.8,2024-01-01 04:49:00
T291,A1483,A1452,185.85,2024-01-01 04:50:00
T292,A1353,A1462,228.38,2024-01-01 04:51:00
T293,A1076,A1279,10376.11,2024-01-01 04:52:00
T294,A1018,A1427,2679.51,2024-01-01 04:53:00
T295,A1189,A1298,815.33,2024-01-01 04:54:00
T296,A1282,A1075,4431.92,2024-01-01 04:55:00
T297,A1220,A1065,8817.89,2024-01-01 04:56:00
T298,A1021,A1157,1458.71,2024-01-01 04:57:00
T299,A1186,A1460,5851.32,2024-01-01 04:58:00
T300,A1477,A1407,535.27,2024-01-01 04:59:00
T301,A1497,A1440,318.39,2024-01-01 05:00:00
T302,A1020,A1460,4547.45,2024-01-01 05:01:00
T303,A1183,A1107,4667.46,2024-01-01 05:02:00
T304,A1349,A1127,6087.22,2024-01-01 05:03:00
T305,A1341,A1052,7769.76,2024-01-01 05:04:00
T306,A1181,A1399,22341.34,2024-01-01 05:05:00
T307,A1286,A1452,4357.75,2024-01-01 05:06:00
T308,A1447,A1208,2340.12,2024-01-01 05:07:00
T309,A1498,A1317,9513.92,2024-01-01 05:08:00
T310,A1383,A1079,1895.11,2024-01-01 05:09:00
T311,A1473,A1476,3467.9,2024-01-01 05:10:00
T312,A1121,A1442,490.23,2024-01-01 05:11:00
T313,A1083,A1499,154.07,2024-01-01 05:12:00
T314,A1409,A1415,19724.28,2024-01-01 05:13:00
T315,A1090,A1451,10846.61,2024-01-01 05:14:00
T316,A1211,A1012,7143.86,2024-01-01 05:15:00
T317,A1091,A1377,3155.16,2024-01-01 05:16:00
T318,A1473,A1170,1141.84,2024-01-01 05:17:00
T319,A1400,A1476,1020.72,2024-01-01 05:18:00
T320,A1210,A1410,1728.04,2024-01-01 05:19:00
T321,A1342,A1442,4780.74,2024-01-01 05:20:00
T322,A1376,A1415,7523.1,2024-01-01 05:21:00
T323,A1127,A1136,6476.34,2024-01-01 05:22:00
T324,A1081,A1403,1970.47,2024-01-01 05:23:00
T325,A1359,A1055,18588.62,2024-01-01 05:24:00
T326,A1195,A1446,8034.1,2024-01-01 05:25:00
T327,A1019,A1439,4849.38,2024-01-01 05:26:00
T328,A1240,A1113,5676.18,2024-01-01 05:27:00
T329,A1102,A1418,3264.23,2024-01-01 05:28:00
T330,A1470,A1235,1707.97,2024-01-01 05:29:00
T331,A1179,A1156,2640.08,2024-01-01 05:30:00
T332,A1420,A1407,8509.09,2024-01-01 05:31:00
T333,A1446,A1116,86.99,2024-01-01 05:32:00
T334,A1114,A1012,740.28,2024-01-01 05:33:00
T335,A1337,A1098,282.57,2024-01-01 05:34:00
T336,A1204,A1168,249.49,2024-01-01 05:35:00
T337,A1142,A1442,11605.22,2024-01-01 05:36:00
T338,A1035,A1495,7297.44,2024-01-01 05:37:00
T339,A1395,A1142,3856.71,2024-01-01 05:38:00
T340,A1179,A1328,617.74,2024-01-01 05:39:00
T341,A1260,A1204,4059.11,2024-01-01 05:40:00
T342,A1347,A1431,3848.7,2024-01-01 05:41:00
T343,A1274,A1169,1141.17,2024-01-01 05:42:00
T344,A1480,A1014,3413.39,2024-01-01 05:43:00
T345,A1059,A1449,3050.02,2024-01-01 05:44:00
T346,A1496,A1133,5740.33,2024-01-01 05:45:00
T347,A1091,A1297,6048.69,2024-01-01 05:46:00
T348,A1492,A1135,278.17,2024-01-01 05:47:00
T349,A1019,A1055,2816.3,2024-01-01 05:48:00
T350,A1305,A1222,5898.75,2024-01-01 05:49:00
T351,A1176,A1373,4196.64,2024-01-01 05:50:00
T352,A1402,A1160,11648.1,2024-01-01 05:51:00
T353,A1223,A1310,6449.85,2024-01-01 05:52:00
T354,A1261,A1059,1067.12,2024-01-01 05:53:00
T355,A1197,A1460,439.09,2024-01-01 05:54:00
T356,A1295,A1097,6170.36,2024-01-01 05:55:00
T357,A1130,A1022,161.21,2024-01-01 05:56:00
T358,A1362,A1223,5288.08,2024-01-01 05:57:00
T359,A1000,A1266,16903.53,2024-01-01 05:58:00
T360,A1473,A1412,5140.69,2024-01-01 05:59:00
T361,A1275,A1351,2947.8,2024-01-01 06:00:00
T362,A1368,A1481,6184.96,2024-01-01 06:01:00
T363,A1379,A1377,3677.74,2024-01-01 06:02:00
T364,A1343,A1100,4732.89,2024-01-01 06:03:00
T365,A1186,A1220,17028.76,2024-01-01 06:04:00
T366,A1035,A1485,2927.57,2024-01-01 06:05:00
T367,A1340,A1471,19494.55,2024-01-01 06:06:00
T368,A1169,A1319,14145.46,2024-01-01 06:07:00
T369,A1160,A1339,1307.38,2024-01-01 06:08:00
T370,A1434,A1063,431.3,2024-01-01 06:09:00
T371,A1368,A1460,637.35,2024-01-01 06:10:00
T372,A1153,A1259,110.34,2024-01-01 06:11:00
T373,A1158,A1341,595.23,2024-01-01 06:12:00
T374,A1209,A1167,6893.25,2024-01-01 06:13:00
T375,A1206,A1356,443.1,2024-01-01 06:14:00
T376,A1151,A1283,2304.94,2024-01-01 06:15:00
T377,A1065,A1098,11181.16,2024-01-01 06:16:00
T378,A1215,A1340,141.28,2024-01-01 06:17:00
T379,A1481,A1194,10107.18,2024-01-01 06:18:00
T380,A1346,A1383,1986.5,2024-01-01 06:19:00
T381,A1462,A1089,754.5,2024-01-01 06:20:00
T382,A1315,A1291,7158.93,2024-01-01 06:21:00
T383,A1154,A1207,5948.4,2024-01-01 06:22:00
T384,A1280,A1426,12596.49,2024-01-01 06:23:00
T385,A1000,A1155,7969.76,2024-01-01 06:24:00
T386,A1146,A1107,9761.97,2024-01-01 06:25:00
T387,A1220,A1402,1988.0,2024-01-01 06:26:00
T388,A1296,A1310,1172.0,2024-01-01 06:27:00
T389,A1335,A1164,8332.54,2024-01-01 06:28:00
T390,A1238,A1226,9865.26,2024-01-01 06:29:00
T391,A1226,A1345,27942.03,2024-01-01 06:30:00
T392,A1109,A1261,3192.48,2024-01-01 06:31:00
T393,A1242,A1406,2791.46,2024-01-01 06:32:00
T394,A1461,A1491,8987.73,2024-01-01 06:33:00
T395,A1407,A1376,2500.4,2024-01-01 06:34:00
T396,A1086,A1337,16020.83,2024-01-01 06:35:00
T397,A1043,A1145,11729.03,2024-01-01 06:36:00
T398,A1263,A1339,3362.13,2024-01-01 06:37:00
T399,A1324,A1317,8338.71,2024-01-01 06:38:00
T400,A1171,A1047,8427.8,2024-01-01 06:39:00
T401,A1419,A1487,653.03,2024-01-01 06:40:00
T402,A1384,A1120,13970.67,2024-01-01 06:41:00
T403,A1344,A1158,4222.24,2024-01-01 06:42:00
T404,A1115,A1412,10508.0,2024-01-01 06:43:00
T405,A1101,A1075,2314.41,2024-01-01 06:44:00
T406,A1012,A1023,13552.74,2024-01-01 06:45:00
T407,A1125,A1243,2957.93,2024-01-01 06:46:00
T408,A1312,A1435,65.38,2024-01-01 06:47:00
T409,A1393,A1037,14147.44,2024-01-01 06:48:00
T410,A1233,A1212,574.35,2024-01-01 06:49:00
T411,A1453,A1322,2307.92,2024-01-01 06:50:00
T412,A1294,A1099,17981.83,2024-01-01 06:51:00
T413,A1367,A1356,18047.7,2024-01-01 06:52:00
T414,A1196,A1253,5111.98,2024-01-01 06:53:00
T415,A1204,A1124,5995.38,2024-01-01 06:54:00
T416,A1075,A1335,3570.09,2024-01-01 06:55:00
T417,A1352,A1002,2082.14,2024-01-01 06:56:00
T418,A1457,A1384,2390.92,2024-01-01 06:57:00
T419,A1440,A1394,6697.94,2024-01-01 06:58:00
T420,A1453,A1054,8375.03,2024-01-01 06:59:00
T421,A1398,A1217,9409.17,2024-01-01 07:00:00
T422,A1112,A1090,9352.99,2024-01-01 07:01:00
T423,A1411,A1490,573.82,2024-01-01 07:02:00
T424,A1356,A1265,4092.3,2024-01-01 07:03:00
T425,A1237,A1025,355.69,2024-01-01 07:04:00
T426,A1285,A1127,4784.77,2024-01-01 07:05:00
T427,A1469,A1434,3495.33,2024-01-01 07:06:00
T428,A1062,A1233,13119.71,2024-01-01 07:07:00
T429,A1068,A1410,2593.15,2024-01-01 07:08:00
T430,A1237,A1341,747.04,2024-01-01 07:09:00
T431,A1271,A1286,925.85,2024-01-01 07:10:00
T432,A1304,A1162,8600.58,2024-01-01 07:11:00
T433,A1486,A1386,5777.43,2024-01-01 07:12:00
T434,A1456,A1226,639.65,2024-01-01 07:13:00
T435,A1313,A1417,527.13,2024-01-01 07:14:00
T436,A1368,A1456,7243.25,2024-01-01 07:15:00
T437,A1258,A1218,453.28,2024-01-01 07:16:00
T438,A1425,A1464,10351.12,2024-01-01 07:17:00
T439,A1280,A1228,7350.0,2024-01-01 07:18:00
T440,A1459,A1081,509.09,2024-01-01 07:19:00
T441,A1380,A1441,531.92,2024-01-01 07:20:00
T442,A1243,A1230,25892.75,2024-01-01 07:21:00
T443,A1132,A1384,2813.03,2024-01-01 07:22:00
T444,A1126,A1430,2778.33,2024-01-01 07:23:00
T445,A1326,A1141,10053.45,2024-01-01 07:24:00
T446,A1392,A1398,17652.99,2024-01-01 07:25:00
T447,A1266,A1248,25612.64,2024-01-01 07:26:00
T448,A1320,A1122,8399.4,2024-01-01 07:27:00
T449,A1140,A1225,2832.13,2024-01-01 07:28:00
T450,A1039,A1365,523.16,2024-01-01 07:29:00
T451,A1146,A1120,9007.46,2024-01-01 07:30:00
T452,A1139,A1171,4904.16,2024-01-01 07:31:00
T453,A1163,A1457,3312.2,2024-01-01 07:32:00
T454,A1276,A1041,14209.43,2024-01-01 07:33:00
T455,A1070,A1077,707.28,2024-01-01 07:34:00
T456,A1118,A1196,4071.03,2024-01-01 07:35:00
T457,A1355,A1078,68.51,2024-01-01 07:36:00
T458,A1361,A1109,3794.13,2024-01-01 07:37:00
T459,A1032,A1212,347.7,2024-01-01 07:38:00
T460,A1208,A1169,758.95,2024-01-01 07:39:00
T461,A1277,A1238,750.16,2024-01-01 07:40:00
T462,A1212,A1031,6285.41,2024-01-01 07:41:00
T463,A1105,A1426,8223.59,2024-01-01 07:42:00
T464,A1215,A1199,5253.32,2024-01-01 07:43:00
T465,A1463,A1394,19648.32,2024-01-01 07:44:00
T466,A1299,A1484,2818.78,2024-01-01 07:45:00
T467,A1356,A1010,2018.81,2024-01-01 07:46:00
T468,A1438,A1450,12177.02,2024-01-01 07:47:00
T469,A1391,A1294,1518.49,2024-01-01 07:48:00
T470,A1194,A1244,19817.22,2024-01-01 07:49:00
T471,A1003,A1482,73.37,2024-01-01 07:50:00
T472,A1180,A1152,21015.16,2024-01-01 07:51:00
T473,A1385,A1199,264.71,2024-01-01 07:52:00
T474,A1436,A1456,13306.33,2024-01-01 07:53:00
T475,A1488,A1427,4500.86,2024-01-01 07:54:00
T476,A1214,A1275,29740.97,2024-01-01 07:55:00
T477,A1382,A1376,459.97,2024-01-01 07:56:00
T478,A1279,A1409,4842.66,2024-01-01 07:57:00
T479,A1308,A1459,20901.45,2024-01-01 07:58:00
T480,A1112,A1249,4442.66,2024-01-01 07:59:00
T481,A1112,A1139,5955.77,2024-01-01 08:00:00
T482,A1223,A1248,7139.41,2024-01-01 08:01:00
T483,A1014,A1199,3636.77,2024-01-01 08:02:00
T484,A1172,A1342,5926.05,2024-01-01 08:03:00
